OrigCountry,OrigRegion,OrigCercle,OrigCommune,DestCountry,DestRegion,DestCercle,DestCommune
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Boucle du Mouhoun,Bale,Boromo
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Nord,Bam,Kongoussi
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Plateau-Central,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Ipelce,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Doulougou
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Ipelce
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Ipelce
Burkina Faso,Centre-Sud,Bazega,Sapone,Burkina Faso,Centre-Sud,Bazega,Ipelce
