id,configurationid,index,x,y,beta,district
1,1,0,0,104,0.025,40
2,1,1,0,105,0.025,40
3,1,2,0,106,0.025,40
4,1,3,0,107,0.025,40
5,1,4,0,108,0.025,40
6,1,5,0,109,0.025,40
7,1,6,0,113,0.025,40
8,1,7,0,114,0.025,40
9,1,8,1,102,0.025,40
10,1,9,1,103,0.025,40
11,1,10,1,104,0.025,40
12,1,11,1,105,0.025,40
13,1,12,1,106,0.025,40
14,1,13,1,107,0.025,40
15,1,14,1,108,0.025,40
16,1,15,1,109,0.025,40
17,1,16,1,110,0.025,40
18,1,17,1,112,0.025,40
19,1,18,1,113,0.025,40
20,1,19,1,114,0.025,40
21,1,20,1,115,0.025,40
22,1,21,1,116,0.025,40
23,1,22,1,117,0.025,40
24,1,23,2,101,0.025,40
25,1,24,2,102,0.025,40
26,1,25,2,103,0.025,40
27,1,26,2,104,0.025,40
28,1,27,2,105,0.025,40
29,1,28,2,106,0.025,40
30,1,29,2,107,0.025,40
31,1,30,2,108,0.025,40
32,1,31,2,109,0.025,40
33,1,32,2,110,0.025,40
34,1,33,2,111,0.025,40
35,1,34,2,112,0.025,40
36,1,35,2,113,0.025,40
37,1,36,2,114,0.025,40
38,1,37,2,115,0.025,40
39,1,38,2,116,0.025,40
40,1,39,2,117,0.025,40
41,1,40,2,118,0.025,40
42,1,41,2,119,0.025,40
43,1,42,2,120,0.025,40
44,1,43,2,121,0.025,40
45,1,44,2,122,0.025,40
46,1,45,2,123,0.025,40
47,1,46,2,124,0.025,40
48,1,47,3,100,0.025,40
49,1,48,3,101,0.025,40
50,1,49,3,102,0.025,40
51,1,50,3,103,0.025,40
52,1,51,3,104,0.025,40
53,1,52,3,105,0.025,40
54,1,53,3,106,0.025,40
55,1,54,3,107,0.025,40
56,1,55,3,108,0.025,40
57,1,56,3,109,0.025,40
58,1,57,3,110,0.025,40
59,1,58,3,111,0.025,40
60,1,59,3,112,0.025,40
61,1,60,3,113,0.025,40
62,1,61,3,114,0.025,40
63,1,62,3,115,0.025,40
64,1,63,3,116,0.025,40
65,1,64,3,117,0.025,40
66,1,65,3,118,0.025,40
67,1,66,3,119,0.025,40
68,1,67,3,120,0.025,40
69,1,68,3,121,0.025,40
70,1,69,3,122,0.025,40
71,1,70,3,123,0.025,40
72,1,71,3,124,0.025,40
73,1,72,4,99,0.025,40
74,1,73,4,100,0.025,40
75,1,74,4,101,0.025,40
76,1,75,4,102,0.025,40
77,1,76,4,103,0.025,40
78,1,77,4,104,0.025,40
79,1,78,4,105,0.025,40
80,1,79,4,106,0.025,40
81,1,80,4,107,0.025,40
82,1,81,4,108,0.025,40
83,1,82,4,109,0.025,40
84,1,83,4,110,0.025,40
85,1,84,4,111,0.025,40
86,1,85,4,112,0.025,40
87,1,86,4,113,0.025,40
88,1,87,4,114,0.025,40
89,1,88,4,115,0.025,40
90,1,89,4,116,0.025,40
91,1,90,4,117,0.025,40
92,1,91,4,118,0.025,40
93,1,92,4,119,0.025,40
94,1,93,4,120,0.025,40
95,1,94,4,121,0.025,40
96,1,95,4,122,0.025,40
97,1,96,4,123,0.025,40
98,1,97,5,98,0.025,40
99,1,98,5,99,0.025,40
100,1,99,5,100,0.025,40
101,1,100,5,101,0.025,40
102,1,101,5,102,0.025,40
103,1,102,5,103,0.025,40
104,1,103,5,104,0.025,40
105,1,104,5,105,0.025,40
106,1,105,5,106,0.025,40
107,1,106,5,107,0.025,40
108,1,107,5,108,0.025,40
109,1,108,5,109,0.025,40
110,1,109,5,110,0.025,40
111,1,110,5,111,0.025,40
112,1,111,5,112,0.025,40
113,1,112,5,113,0.025,40
114,1,113,5,114,0.025,40
115,1,114,5,115,0.025,40
116,1,115,5,116,0.025,40
117,1,116,5,117,0.025,40
118,1,117,5,118,0.025,40
119,1,118,5,119,0.025,40
120,1,119,5,120,0.025,40
121,1,120,5,121,0.025,40
122,1,121,5,122,0.025,40
123,1,122,5,123,0.025,40
124,1,123,6,96,0.025,41
125,1,124,6,97,0.025,41
126,1,125,6,98,0.025,40
127,1,126,6,99,0.025,40
128,1,127,6,100,0.025,40
129,1,128,6,101,0.025,40
130,1,129,6,102,0.025,40
131,1,130,6,103,0.025,40
132,1,131,6,104,0.025,40
133,1,132,6,105,0.025,40
134,1,133,6,106,0.025,40
135,1,134,6,107,0.025,40
136,1,135,6,108,0.025,40
137,1,136,6,109,0.025,40
138,1,137,6,110,0.025,40
139,1,138,6,111,0.025,40
140,1,139,6,112,0.025,40
141,1,140,6,113,0.025,40
142,1,141,6,114,0.025,40
143,1,142,6,115,0.025,40
144,1,143,6,116,0.025,40
145,1,144,6,117,0.025,40
146,1,145,6,118,0.025,40
147,1,146,6,119,0.025,40
148,1,147,6,120,0.025,40
149,1,148,6,121,0.025,40
150,1,149,6,122,0.025,40
151,1,150,6,123,0.025,40
152,1,151,6,124,0.025,40
153,1,152,7,93,0.025,41
154,1,153,7,94,0.025,41
155,1,154,7,95,0.025,41
156,1,155,7,96,0.025,41
157,1,156,7,97,0.025,41
158,1,157,7,98,0.025,41
159,1,158,7,99,0.025,40
160,1,159,7,100,0.025,40
161,1,160,7,101,0.025,40
162,1,161,7,102,0.025,40
163,1,162,7,103,0.025,40
164,1,163,7,104,0.025,40
165,1,164,7,105,0.025,40
166,1,165,7,106,0.025,40
167,1,166,7,107,0.025,40
168,1,167,7,108,0.025,40
169,1,168,7,109,0.025,40
170,1,169,7,110,0.025,40
171,1,170,7,111,0.025,40
172,1,171,7,112,0.025,40
173,1,172,7,113,0.025,40
174,1,173,7,114,0.025,40
175,1,174,7,115,0.025,40
176,1,175,7,116,0.025,40
177,1,176,7,117,0.025,40
178,1,177,7,118,0.025,40
179,1,178,7,119,0.025,40
180,1,179,7,120,0.025,40
181,1,180,7,121,0.025,40
182,1,181,7,122,0.025,40
183,1,182,7,123,0.025,40
184,1,183,7,124,0.025,40
185,1,184,8,91,0.025,41
186,1,185,8,92,0.025,41
187,1,186,8,93,0.025,41
188,1,187,8,94,0.025,41
189,1,188,8,95,0.025,41
190,1,189,8,96,0.025,41
191,1,190,8,97,0.025,41
192,1,191,8,98,0.025,41
193,1,192,8,99,0.025,41
194,1,193,8,100,0.025,40
195,1,194,8,101,0.025,40
196,1,195,8,102,0.025,40
197,1,196,8,103,0.025,40
198,1,197,8,104,0.025,40
199,1,198,8,105,0.025,40
200,1,199,8,106,0.025,40
201,1,200,8,107,0.025,40
202,1,201,8,108,0.025,40
203,1,202,8,109,0.025,40
204,1,203,8,110,0.025,40
205,1,204,8,111,0.025,40
206,1,205,8,112,0.025,40
207,1,206,8,113,0.025,40
208,1,207,8,114,0.025,40
209,1,208,8,115,0.025,40
210,1,209,8,116,0.025,40
211,1,210,8,117,0.025,40
212,1,211,8,118,0.025,40
213,1,212,8,119,0.025,40
214,1,213,8,120,0.025,40
215,1,214,8,121,0.025,40
216,1,215,8,122,0.025,40
217,1,216,8,123,0.025,40
218,1,217,8,124,0.025,40
219,1,218,9,89,0.025,41
220,1,219,9,90,0.025,41
221,1,220,9,91,0.025,41
222,1,221,9,92,0.025,41
223,1,222,9,93,0.025,41
224,1,223,9,94,0.025,41
225,1,224,9,95,0.025,41
226,1,225,9,96,0.025,41
227,1,226,9,97,0.025,41
228,1,227,9,98,0.025,41
229,1,228,9,99,0.025,41
230,1,229,9,100,0.025,41
231,1,230,9,101,0.025,41
232,1,231,9,102,0.025,40
233,1,232,9,103,0.025,40
234,1,233,9,104,0.025,40
235,1,234,9,105,0.025,40
236,1,235,9,106,0.025,40
237,1,236,9,107,0.025,40
238,1,237,9,108,0.025,40
239,1,238,9,109,0.025,40
240,1,239,9,110,0.025,40
241,1,240,9,111,0.025,40
242,1,241,9,112,0.025,40
243,1,242,9,113,0.025,40
244,1,243,9,114,0.025,40
245,1,244,9,115,0.025,40
246,1,245,9,116,0.025,40
247,1,246,9,117,0.025,40
248,1,247,9,118,0.025,40
249,1,248,9,119,0.025,40
250,1,249,9,120,0.025,40
251,1,250,9,121,0.025,40
252,1,251,9,122,0.025,40
253,1,252,9,123,0.025,40
254,1,253,10,88,0.025,41
255,1,254,10,89,0.025,41
256,1,255,10,90,0.025,41
257,1,256,10,91,0.025,41
258,1,257,10,92,0.025,41
259,1,258,10,93,0.025,41
260,1,259,10,94,0.025,41
261,1,260,10,95,0.025,41
262,1,261,10,96,0.025,41
263,1,262,10,97,0.025,41
264,1,263,10,98,0.025,41
265,1,264,10,99,0.025,41
266,1,265,10,100,0.025,41
267,1,266,10,101,0.025,41
268,1,267,10,102,0.025,40
269,1,268,10,103,0.025,40
270,1,269,10,104,0.025,40
271,1,270,10,105,0.025,40
272,1,271,10,106,0.025,40
273,1,272,10,107,0.025,40
274,1,273,10,108,0.025,40
275,1,274,10,109,0.025,40
276,1,275,10,110,0.025,40
277,1,276,10,111,0.025,40
278,1,277,10,112,0.025,40
279,1,278,10,113,0.025,40
280,1,279,10,114,0.025,40
281,1,280,10,115,0.025,40
282,1,281,10,116,0.025,40
283,1,282,10,117,0.025,40
284,1,283,10,118,0.025,40
285,1,284,10,119,0.025,40
