rho,source,destination,count
0.2,1,1,3164
0.2,1,2,2144
0.2,1,3,485
0.2,1,4,660
0.2,1,5,1473
0.2,1,6,533
0.2,1,7,373
0.2,1,8,1283
0.2,1,9,2002
0.2,1,10,272
0.2,1,11,273
0.2,1,12,82
0.2,1,13,132
0.2,1,14,285
0.2,1,15,213
0.2,1,16,146
0.2,1,17,212
0.2,1,18,133
0.2,1,19,367
0.2,1,20,159
0.2,1,21,331
0.2,1,22,187
0.2,1,23,184
0.2,1,24,222
0.2,1,25,409
0.2,1,26,438
0.2,1,27,156
0.2,1,28,853
0.2,1,29,122
0.2,1,30,637
0.2,1,31,786
0.2,1,32,1335
0.2,1,33,191
0.2,1,34,280
0.2,1,35,139
0.2,1,36,161
0.2,1,37,172
0.2,1,38,93
0.2,1,39,157
0.2,1,40,189
0.2,1,41,429
0.2,1,42,418
0.2,1,43,500
0.2,1,44,705
0.2,1,45,646
0.2,2,1,1681
0.2,2,2,7316
0.2,2,3,1396
0.2,2,4,878
0.2,2,5,1588
0.2,2,6,500
0.2,2,7,345
0.2,2,8,2118
0.2,2,9,1781
0.2,2,10,360
0.2,2,11,334
0.2,2,12,114
0.2,2,13,198
0.2,2,14,508
0.2,2,15,259
0.2,2,16,214
0.2,2,17,270
0.2,2,18,217
0.2,2,19,649
0.2,2,20,306
0.2,2,21,306
0.2,2,22,195
0.2,2,23,298
0.2,2,24,304
0.2,2,25,665
0.2,2,26,642
0.2,2,27,241
0.2,2,28,1106
0.2,2,29,141
0.2,2,30,654
0.2,2,31,523
0.2,2,32,876
0.2,2,33,195
0.2,2,34,335
0.2,2,35,165
0.2,2,36,172
0.2,2,37,189
0.2,2,38,142
0.2,2,39,290
0.2,2,40,264
0.2,2,41,646
0.2,2,42,846
0.2,2,43,1113
0.2,2,44,2130
0.2,2,45,1775
0.2,3,1,383
0.2,3,2,1483
0.2,3,3,2587
0.2,3,4,614
0.2,3,5,1151
0.2,3,6,271
0.2,3,7,125
0.2,3,8,523
0.2,3,9,366
0.2,3,10,190
0.2,3,11,170
0.2,3,12,61
0.2,3,13,114
0.2,3,14,272
0.2,3,15,169
0.2,3,16,161
0.2,3,17,179
0.2,3,18,164
0.2,3,19,689
0.2,3,20,339
0.2,3,21,204
0.2,3,22,103
0.2,3,23,214
0.2,3,24,189
0.2,3,25,430
0.2,3,26,233
0.2,3,27,71
0.2,3,28,341
0.2,3,29,64
0.2,3,30,245
0.2,3,31,163
0.2,3,32,385
0.2,3,33,94
0.2,3,34,161
0.2,3,35,81
0.2,3,36,89
0.2,3,37,103
0.2,3,38,91
0.2,3,39,157
0.2,3,40,157
0.2,3,41,415
0.2,3,42,659
0.2,3,43,1496
0.2,3,44,940
0.2,3,45,405
0.2,4,1,893
0.2,4,2,1673
0.2,4,3,1089
0.2,4,4,11227
0.2,4,5,4986
0.2,4,6,2099
0.2,4,7,320
0.2,4,8,1219
0.2,4,9,911
0.2,4,10,872
0.2,4,11,812
0.2,4,12,250
0.2,4,13,574
0.2,4,14,3345
0.2,4,15,830
0.2,4,16,1720
0.2,4,17,1204
0.2,4,18,443
0.2,4,19,2616
0.2,4,20,774
0.2,4,21,1871
0.2,4,22,581
0.2,4,23,763
0.2,4,24,839
0.2,4,25,2054
0.2,4,26,421
0.2,4,27,156
0.2,4,28,910
0.2,4,29,150
0.2,4,30,713
0.2,4,31,514
0.2,4,32,2101
0.2,4,33,527
0.2,4,34,865
0.2,4,35,367
0.2,4,36,321
0.2,4,37,419
0.2,4,38,283
0.2,4,39,534
0.2,4,40,511
0.2,4,41,1325
0.2,4,42,1716
