Value,Count,ADM2_NAME
1,172,Bale
2,275,Mouhoun
3,146,Nayala
4,173,Boulkiemde
5,208,Sanguie
6,213,Ziro
7,110,Bougouriba
8,462,Houet
9,227,Tuy
10,339,Gnagna
11,447,Gourma
12,210,Komonjdjari
13,112,Kouritenga
14,115,Kadiogo
15,167,Ganzourgou
16,62,Kourweogo
17,114,Oubritenga
18,146,Loroum
19,163,Passore
20,77,Zondoma
21,158,Bazega
22,146,Zoundweogo
23,160,Bam
24,260,Namentenga
25,368,Sanmatenga
26,336,kenedougou
27,126,Leraba
28,624,Comoe
29,112,Noumbiel
30,296,Poni
31,132,Ioba
32,288,Sissili
33,156,Nahouri
34,260,Boulgou
35,217,Koulpelogo
36,277,Kompienga
37,596,Tapoa
38,263,Yagha
39,278,Seno
40,404,Oudalan
41,505,Soum
42,273,Yatenga
43,243,Sourou
44,299,Kossi
45,235,Banwa
