replicateid,population,beta,eir,pfprunder5,pfpr2to10,pfprall
8128,797,0.023,1.3253,4.23298,3.986705,4.9215175
8132,797,0.025,1.35627,5.64479833333333,5.80122416666667,4.82117083333333
8130,797,0.022,1.11807,8.38530833333333,7.75768416666667,6.08146166666667
8131,797,0.026,2.10543,8.50842,8.3266725,6.10529916666667
8129,797,0.024,2.19969,13.5348016666667,8.79414083333333,6.8009425
8137,797,0.032,2.1884,12.9614575,8.8025675,8.48544666666667
8134,797,0.028,1.2406,10.7868758333333,9.04728583333333,8.6034825
8148,797,0.044,3.20005,9.81342166666667,9.22326916666667,8.04655583333333
8135,797,0.029,1.45663,11.8531725,10.173285,7.86997
8146,797,0.038,2.82691,14.3351333333333,10.5769791666667,9.15126083333333
8141,797,0.035,2.58501,16.9697416666667,10.7700516666667,9.26925916666667
8142,797,0.036,2.03174,10.2158816666667,10.8321375,9.00219666666667
8160,797,0.054,2.91799,15.8169041666667,11.2580283333333,9.8451625
8136,797,0.03,1.60568,13.32748,11.2659275,9.34061166666667
8133,797,0.027,1.37698,11.1852066666667,11.2853266666667,8.92181333333333
8152,797,0.046,3.32394,14.985025,11.5549416666667,10.318415
8138,797,0.031,1.96827,11.2289466666667,11.827335,8.19768166666667
8139,797,0.033,2.11093,15.6637916666667,12.01214,9.34601166666667
8155,797,0.048,3.35597,15.2882583333333,12.0261533333333,11.3727333333333
8144,797,0.042,2.24522,12.788335,12.4958458333333,9.32089666666667
8162,797,0.055,4.7115,14.9118616666667,12.6127833333333,9.43161083333333
8158,797,0.053,3.2259,14.84617,12.7897658333333,12.3270941666667
8143,797,0.037,2.29057,18.823425,13.1191725,11.2916383333333
8149,797,0.045,2.70881,14.8767583333333,13.3120583333333,11.2717683333333
8140,797,0.034,2.01943,17.6412583333333,13.6836858333333,11.3403658333333
8159,797,0.052,3.67233,17.1916083333333,13.91394,11.7560491666667
8151,797,0.04,2.43899,19.5108341666667,14.0084016666667,11.7059666666667
8172,797,0.069,5.64329,22.0596833333333,14.393925,10.6901625
8170,797,0.068,4.44104,19.281875,14.5804541666667,11.6731733333333
8171,797,0.067,5.06653,22.61285,16.3320666666667,13.5661358333333
8153,797,0.049,1.86907,16.5446783333333,16.6587333333333,14.7751583333333
8166,797,0.06,3.88211,22.2040916666667,16.6861591666667,13.4796583333333
8157,797,0.051,2.86062,21.9026166666667,16.7423916666667,13.4425833333333
8147,797,0.039,1.91166,24.4455916666667,16.834755,13.1113166666667
8150,797,0.041,2.97995,18.7488916666667,16.9991358333333,10.2770283333333
8145,797,0.043,2.28741,19.4851,17.1730333333333,12.6685433333333
8175,797,0.07,5.6948,23.869,17.4228083333333,14.0293166666667
8197,797,0.092,7.2885,22.5904833333333,17.7835591666667,12.8348958333333
8176,797,0.071,5.12323,23.1044583333333,17.93115,13.7198416666667
